id,domain_code,domain,role,workflow,context,path
"COK-GOV-06-04","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","배포 직전","manuals/gov/COK-GOV-06-04.md"
"COK-GOV-06-05","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","배포 직후","manuals/gov/COK-GOV-06-05.md"
"COK-GOV-06-06","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","장애 발생","manuals/gov/COK-GOV-06-06.md"
"COK-GOV-06-07","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","보안 의심","manuals/gov/COK-GOV-06-07.md"
"COK-GOV-06-08","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","개인정보 포함 가능성","manuals/gov/COK-GOV-06-08.md"
"COK-GOV-06-09","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","파일럿 진행","manuals/gov/COK-GOV-06-09.md"
"COK-GOV-06-10","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","월간 회고","manuals/gov/COK-GOV-06-10.md"
"COK-GOV-07-01","GOV","운영 원칙·의사결정","창업가","리스크 등록","정기 점검","manuals/gov/COK-GOV-07-01.md"
"COK-GOV-07-02","GOV","운영 원칙·의사결정","창업가","리스크 등록","신규 요청","manuals/gov/COK-GOV-07-02.md"
"COK-GOV-07-03","GOV","운영 원칙·의사결정","창업가","리스크 등록","실사용자 신고","manuals/gov/COK-GOV-07-03.md"
"COK-GOV-07-04","GOV","운영 원칙·의사결정","창업가","리스크 등록","배포 직전","manuals/gov/COK-GOV-07-04.md"
"COK-GOV-07-05","GOV","운영 원칙·의사결정","창업가","리스크 등록","배포 직후","manuals/gov/COK-GOV-07-05.md"
"COK-GOV-07-06","GOV","운영 원칙·의사결정","창업가","리스크 등록","장애 발생","manuals/gov/COK-GOV-07-06.md"
"COK-GOV-07-07","GOV","운영 원칙·의사결정","창업가","리스크 등록","보안 의심","manuals/gov/COK-GOV-07-07.md"
"COK-GOV-07-08","GOV","운영 원칙·의사결정","창업가","리스크 등록","개인정보 포함 가능성","manuals/gov/COK-GOV-07-08.md"
"COK-GOV-07-09","GOV","운영 원칙·의사결정","창업가","리스크 등록","파일럿 진행","manuals/gov/COK-GOV-07-09.md"
"COK-GOV-07-10","GOV","운영 원칙·의사결정","창업가","리스크 등록","월간 회고","manuals/gov/COK-GOV-07-10.md"
"COK-GOV-08-01","GOV","운영 원칙·의사결정","창업가","회의 최소화","정기 점검","manuals/gov/COK-GOV-08-01.md"
"COK-GOV-08-02","GOV","운영 원칙·의사결정","창업가","회의 최소화","신규 요청","manuals/gov/COK-GOV-08-02.md"
"COK-GOV-08-03","GOV","운영 원칙·의사결정","창업가","회의 최소화","실사용자 신고","manuals/gov/COK-GOV-08-03.md"
"COK-GOV-08-04","GOV","운영 원칙·의사결정","창업가","회의 최소화","배포 직전","manuals/gov/COK-GOV-08-04.md"
"COK-GOV-08-05","GOV","운영 원칙·의사결정","창업가","회의 최소화","배포 직후","manuals/gov/COK-GOV-08-05.md"
"COK-GOV-08-06","GOV","운영 원칙·의사결정","창업가","회의 최소화","장애 발생","manuals/gov/COK-GOV-08-06.md"
"COK-GOV-08-07","GOV","운영 원칙·의사결정","창업가","회의 최소화","보안 의심","manuals/gov/COK-GOV-08-07.md"
"COK-GOV-08-08","GOV","운영 원칙·의사결정","창업가","회의 최소화","개인정보 포함 가능성","manuals/gov/COK-GOV-08-08.md"
"COK-GOV-08-09","GOV","운영 원칙·의사결정","창업가","회의 최소화","파일럿 진행","manuals/gov/COK-GOV-08-09.md"
"COK-GOV-08-10","GOV","운영 원칙·의사결정","창업가","회의 최소화","월간 회고","manuals/gov/COK-GOV-08-10.md"
"COK-GOV-09-01","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","정기 점검","manuals/gov/COK-GOV-09-01.md"
"COK-GOV-09-02","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","신규 요청","manuals/gov/COK-GOV-09-02.md"
"COK-GOV-09-03","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","실사용자 신고","manuals/gov/COK-GOV-09-03.md"
"COK-GOV-09-04","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","배포 직전","manuals/gov/COK-GOV-09-04.md"
"COK-GOV-09-05","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","배포 직후","manuals/gov/COK-GOV-09-05.md"
"COK-GOV-09-06","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","장애 발생","manuals/gov/COK-GOV-09-06.md"
"COK-GOV-09-07","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","보안 의심","manuals/gov/COK-GOV-09-07.md"
"COK-GOV-09-08","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","개인정보 포함 가능성","manuals/gov/COK-GOV-09-08.md"
"COK-GOV-09-09","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","파일럿 진행","manuals/gov/COK-GOV-09-09.md"
"COK-GOV-09-10","GOV","운영 원칙·의사결정","창업가","외부 요청 판정","월간 회고","manuals/gov/COK-GOV-09-10.md"
"COK-GOV-10-01","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","정기 점검","manuals/gov/COK-GOV-10-01.md"
"COK-GOV-10-02","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","신규 요청","manuals/gov/COK-GOV-10-02.md"
"COK-GOV-10-03","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","실사용자 신고","manuals/gov/COK-GOV-10-03.md"
"COK-GOV-10-04","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","배포 직전","manuals/gov/COK-GOV-10-04.md"
"COK-GOV-10-05","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","배포 직후","manuals/gov/COK-GOV-10-05.md"
"COK-GOV-10-06","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","장애 발생","manuals/gov/COK-GOV-10-06.md"
"COK-GOV-10-07","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","보안 의심","manuals/gov/COK-GOV-10-07.md"
"COK-GOV-10-08","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","개인정보 포함 가능성","manuals/gov/COK-GOV-10-08.md"
"COK-GOV-10-09","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","파일럿 진행","manuals/gov/COK-GOV-10-09.md"
"COK-GOV-10-10","GOV","운영 원칙·의사결정","창업가","운영 문서 갱신","월간 회고","manuals/gov/COK-GOV-10-10.md"
"COK-PRD-01-01","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","정기 점검","manuals/prd/COK-PRD-01-01.md"
"COK-PRD-01-02","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","신규 요청","manuals/prd/COK-PRD-01-02.md"
"COK-PRD-01-03","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","실사용자 신고","manuals/prd/COK-PRD-01-03.md"
"COK-PRD-01-04","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","배포 직전","manuals/prd/COK-PRD-01-04.md"
"COK-PRD-01-05","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","배포 직후","manuals/prd/COK-PRD-01-05.md"
"COK-PRD-01-06","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","장애 발생","manuals/prd/COK-PRD-01-06.md"
"COK-PRD-01-07","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","보안 의심","manuals/prd/COK-PRD-01-07.md"
"COK-PRD-01-08","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","개인정보 포함 가능성","manuals/prd/COK-PRD-01-08.md"
"COK-PRD-01-09","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","파일럿 진행","manuals/prd/COK-PRD-01-09.md"
"COK-PRD-01-10","PRD","제품 발견·기획","기획가","문제 인터뷰 준비","월간 회고","manuals/prd/COK-PRD-01-10.md"
"COK-PRD-02-01","PRD","제품 발견·기획","기획가","인터뷰 진행","정기 점검","manuals/prd/COK-PRD-02-01.md"
"COK-PRD-02-02","PRD","제품 발견·기획","기획가","인터뷰 진행","신규 요청","manuals/prd/COK-PRD-02-02.md"
"COK-PRD-02-03","PRD","제품 발견·기획","기획가","인터뷰 진행","실사용자 신고","manuals/prd/COK-PRD-02-03.md"
"COK-PRD-02-04","PRD","제품 발견·기획","기획가","인터뷰 진행","배포 직전","manuals/prd/COK-PRD-02-04.md"
"COK-PRD-02-05","PRD","제품 발견·기획","기획가","인터뷰 진행","배포 직후","manuals/prd/COK-PRD-02-05.md"
"COK-PRD-02-06","PRD","제품 발견·기획","기획가","인터뷰 진행","장애 발생","manuals/prd/COK-PRD-02-06.md"
"COK-PRD-02-07","PRD","제품 발견·기획","기획가","인터뷰 진행","보안 의심","manuals/prd/COK-PRD-02-07.md"
"COK-PRD-02-08","PRD","제품 발견·기획","기획가","인터뷰 진행","개인정보 포함 가능성","manuals/prd/COK-PRD-02-08.md"
"COK-PRD-02-09","PRD","제품 발견·기획","기획가","인터뷰 진행","파일럿 진행","manuals/prd/COK-PRD-02-09.md"
"COK-PRD-02-10","PRD","제품 발견·기획","기획가","인터뷰 진행","월간 회고","manuals/prd/COK-PRD-02-10.md"
"COK-PRD-03-01","PRD","제품 발견·기획","기획가","가설 작성","정기 점검","manuals/prd/COK-PRD-03-01.md"
"COK-PRD-03-02","PRD","제품 발견·기획","기획가","가설 작성","신규 요청","manuals/prd/COK-PRD-03-02.md"
"COK-PRD-03-03","PRD","제품 발견·기획","기획가","가설 작성","실사용자 신고","manuals/prd/COK-PRD-03-03.md"
"COK-PRD-03-04","PRD","제품 발견·기획","기획가","가설 작성","배포 직전","manuals/prd/COK-PRD-03-04.md"
"COK-PRD-03-05","PRD","제품 발견·기획","기획가","가설 작성","배포 직후","manuals/prd/COK-PRD-03-05.md"
"COK-PRD-03-06","PRD","제품 발견·기획","기획가","가설 작성","장애 발생","manuals/prd/COK-PRD-03-06.md"
"COK-PRD-03-07","PRD","제품 발견·기획","기획가","가설 작성","보안 의심","manuals/prd/COK-PRD-03-07.md"
"COK-PRD-03-08","PRD","제품 발견·기획","기획가","가설 작성","개인정보 포함 가능성","manuals/prd/COK-PRD-03-08.md"
"COK-PRD-03-09","PRD","제품 발견·기획","기획가","가설 작성","파일럿 진행","manuals/prd/COK-PRD-03-09.md"
"COK-PRD-03-10","PRD","제품 발견·기획","기획가","가설 작성","월간 회고","manuals/prd/COK-PRD-03-10.md"
"COK-PRD-04-01","PRD","제품 발견·기획","기획가","작업 흐름 정의","정기 점검","manuals/prd/COK-PRD-04-01.md"
"COK-PRD-04-02","PRD","제품 발견·기획","기획가","작업 흐름 정의","신규 요청","manuals/prd/COK-PRD-04-02.md"
"COK-PRD-04-03","PRD","제품 발견·기획","기획가","작업 흐름 정의","실사용자 신고","manuals/prd/COK-PRD-04-03.md"
"COK-PRD-04-04","PRD","제품 발견·기획","기획가","작업 흐름 정의","배포 직전","manuals/prd/COK-PRD-04-04.md"
"COK-PRD-04-05","PRD","제품 발견·기획","기획가","작업 흐름 정의","배포 직후","manuals/prd/COK-PRD-04-05.md"
"COK-PRD-04-06","PRD","제품 발견·기획","기획가","작업 흐름 정의","장애 발생","manuals/prd/COK-PRD-04-06.md"
"COK-PRD-04-07","PRD","제품 발견·기획","기획가","작업 흐름 정의","보안 의심","manuals/prd/COK-PRD-04-07.md"
"COK-PRD-04-08","PRD","제품 발견·기획","기획가","작업 흐름 정의","개인정보 포함 가능성","manuals/prd/COK-PRD-04-08.md"
"COK-PRD-04-09","PRD","제품 발견·기획","기획가","작업 흐름 정의","파일럿 진행","manuals/prd/COK-PRD-04-09.md"
"COK-PRD-04-10","PRD","제품 발견·기획","기획가","작업 흐름 정의","월간 회고","manuals/prd/COK-PRD-04-10.md"
"COK-PRD-05-01","PRD","제품 발견·기획","기획가","성공 기준 설정","정기 점검","manuals/prd/COK-PRD-05-01.md"
"COK-PRD-05-02","PRD","제품 발견·기획","기획가","성공 기준 설정","신규 요청","manuals/prd/COK-PRD-05-02.md"
"COK-PRD-05-03","PRD","제품 발견·기획","기획가","성공 기준 설정","실사용자 신고","manuals/prd/COK-PRD-05-03.md"
"COK-PRD-05-04","PRD","제품 발견·기획","기획가","성공 기준 설정","배포 직전","manuals/prd/COK-PRD-05-04.md"
"COK-PRD-05-05","PRD","제품 발견·기획","기획가","성공 기준 설정","배포 직후","manuals/prd/COK-PRD-05-05.md"
"COK-PRD-05-06","PRD","제품 발견·기획","기획가","성공 기준 설정","장애 발생","manuals/prd/COK-PRD-05-06.md"
"COK-PRD-05-07","PRD","제품 발견·기획","기획가","성공 기준 설정","보안 의심","manuals/prd/COK-PRD-05-07.md"
"COK-PRD-05-08","PRD","제품 발견·기획","기획가","성공 기준 설정","개인정보 포함 가능성","manuals/prd/COK-PRD-05-08.md"
"COK-PRD-05-09","PRD","제품 발견·기획","기획가","성공 기준 설정","파일럿 진행","manuals/prd/COK-PRD-05-09.md"
"COK-PRD-05-10","PRD","제품 발견·기획","기획가","성공 기준 설정","월간 회고","manuals/prd/COK-PRD-05-10.md"
"COK-PRD-06-01","PRD","제품 발견·기획","기획가","기능 요구 작성","정기 점검","manuals/prd/COK-PRD-06-01.md"
"COK-PRD-06-02","PRD","제품 발견·기획","기획가","기능 요구 작성","신규 요청","manuals/prd/COK-PRD-06-02.md"
"COK-PRD-06-03","PRD","제품 발견·기획","기획가","기능 요구 작성","실사용자 신고","manuals/prd/COK-PRD-06-03.md"
"COK-PRD-06-04","PRD","제품 발견·기획","기획가","기능 요구 작성","배포 직전","manuals/prd/COK-PRD-06-04.md"
"COK-PRD-06-05","PRD","제품 발견·기획","기획가","기능 요구 작성","배포 직후","manuals/prd/COK-PRD-06-05.md"
"COK-PRD-06-06","PRD","제품 발견·기획","기획가","기능 요구 작성","장애 발생","manuals/prd/COK-PRD-06-06.md"
"COK-PRD-06-07","PRD","제품 발견·기획","기획가","기능 요구 작성","보안 의심","manuals/prd/COK-PRD-06-07.md"
"COK-PRD-06-08","PRD","제품 발견·기획","기획가","기능 요구 작성","개인정보 포함 가능성","manuals/prd/COK-PRD-06-08.md"
"COK-PRD-06-09","PRD","제품 발견·기획","기획가","기능 요구 작성","파일럿 진행","manuals/prd/COK-PRD-06-09.md"
"COK-PRD-06-10","PRD","제품 발견·기획","기획가","기능 요구 작성","월간 회고","manuals/prd/COK-PRD-06-10.md"
"COK-PRD-07-01","PRD","제품 발견·기획","기획가","범위 축소","정기 점검","manuals/prd/COK-PRD-07-01.md"
"COK-PRD-07-02","PRD","제품 발견·기획","기획가","범위 축소","신규 요청","manuals/prd/COK-PRD-07-02.md"
"COK-PRD-07-03","PRD","제품 발견·기획","기획가","범위 축소","실사용자 신고","manuals/prd/COK-PRD-07-03.md"
"COK-PRD-07-04","PRD","제품 발견·기획","기획가","범위 축소","배포 직전","manuals/prd/COK-PRD-07-04.md"
"COK-PRD-07-05","PRD","제품 발견·기획","기획가","범위 축소","배포 직후","manuals/prd/COK-PRD-07-05.md"
"COK-PRD-07-06","PRD","제품 발견·기획","기획가","범위 축소","장애 발생","manuals/prd/COK-PRD-07-06.md"
"COK-PRD-07-07","PRD","제품 발견·기획","기획가","범위 축소","보안 의심","manuals/prd/COK-PRD-07-07.md"
"COK-PRD-07-08","PRD","제품 발견·기획","기획가","범위 축소","개인정보 포함 가능성","manuals/prd/COK-PRD-07-08.md"
"COK-PRD-07-09","PRD","제품 발견·기획","기획가","범위 축소","파일럿 진행","manuals/prd/COK-PRD-07-09.md"
"COK-PRD-07-10","PRD","제품 발견·기획","기획가","범위 축소","월간 회고","manuals/prd/COK-PRD-07-10.md"
"COK-PRD-08-01","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","정기 점검","manuals/prd/COK-PRD-08-01.md"
"COK-PRD-08-02","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","신규 요청","manuals/prd/COK-PRD-08-02.md"
"COK-PRD-08-03","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","실사용자 신고","manuals/prd/COK-PRD-08-03.md"
"COK-PRD-08-04","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","배포 직전","manuals/prd/COK-PRD-08-04.md"
"COK-PRD-08-05","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","배포 직후","manuals/prd/COK-PRD-08-05.md"
"COK-PRD-08-06","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","장애 발생","manuals/prd/COK-PRD-08-06.md"
"COK-PRD-08-07","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","보안 의심","manuals/prd/COK-PRD-08-07.md"
"COK-PRD-08-08","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","개인정보 포함 가능성","manuals/prd/COK-PRD-08-08.md"
"COK-PRD-08-09","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","파일럿 진행","manuals/prd/COK-PRD-08-09.md"
"COK-PRD-08-10","PRD","제품 발견·기획","기획가","사용자 시나리오 점검","월간 회고","manuals/prd/COK-PRD-08-10.md"
"COK-PRD-09-01","PRD","제품 발견·기획","기획가","기능 제거 판단","정기 점검","manuals/prd/COK-PRD-09-01.md"
"COK-PRD-09-02","PRD","제품 발견·기획","기획가","기능 제거 판단","신규 요청","manuals/prd/COK-PRD-09-02.md"
"COK-PRD-09-03","PRD","제품 발견·기획","기획가","기능 제거 판단","실사용자 신고","manuals/prd/COK-PRD-09-03.md"
"COK-PRD-09-04","PRD","제품 발견·기획","기획가","기능 제거 판단","배포 직전","manuals/prd/COK-PRD-09-04.md"
"COK-PRD-09-05","PRD","제품 발견·기획","기획가","기능 제거 판단","배포 직후","manuals/prd/COK-PRD-09-05.md"
"COK-PRD-09-06","PRD","제품 발견·기획","기획가","기능 제거 판단","장애 발생","manuals/prd/COK-PRD-09-06.md"
"COK-PRD-09-07","PRD","제품 발견·기획","기획가","기능 제거 판단","보안 의심","manuals/prd/COK-PRD-09-07.md"
"COK-PRD-09-08","PRD","제품 발견·기획","기획가","기능 제거 판단","개인정보 포함 가능성","manuals/prd/COK-PRD-09-08.md"
"COK-PRD-09-09","PRD","제품 발견·기획","기획가","기능 제거 판단","파일럿 진행","manuals/prd/COK-PRD-09-09.md"
"COK-PRD-09-10","PRD","제품 발견·기획","기획가","기능 제거 판단","월간 회고","manuals/prd/COK-PRD-09-10.md"
"COK-PRD-10-01","PRD","제품 발견·기획","기획가","검증 결과 정리","정기 점검","manuals/prd/COK-PRD-10-01.md"
"COK-PRD-10-02","PRD","제품 발견·기획","기획가","검증 결과 정리","신규 요청","manuals/prd/COK-PRD-10-02.md"
"COK-PRD-10-03","PRD","제품 발견·기획","기획가","검증 결과 정리","실사용자 신고","manuals/prd/COK-PRD-10-03.md"
"COK-PRD-10-04","PRD","제품 발견·기획","기획가","검증 결과 정리","배포 직전","manuals/prd/COK-PRD-10-04.md"
"COK-PRD-10-05","PRD","제품 발견·기획","기획가","검증 결과 정리","배포 직후","manuals/prd/COK-PRD-10-05.md"
"COK-PRD-10-06","PRD","제품 발견·기획","기획가","검증 결과 정리","장애 발생","manuals/prd/COK-PRD-10-06.md"
"COK-PRD-10-07","PRD","제품 발견·기획","기획가","검증 결과 정리","보안 의심","manuals/prd/COK-PRD-10-07.md"
"COK-PRD-10-08","PRD","제품 발견·기획","기획가","검증 결과 정리","개인정보 포함 가능성","manuals/prd/COK-PRD-10-08.md"
"COK-PRD-10-09","PRD","제품 발견·기획","기획가","검증 결과 정리","파일럿 진행","manuals/prd/COK-PRD-10-09.md"
"COK-PRD-10-10","PRD","제품 발견·기획","기획가","검증 결과 정리","월간 회고","manuals/prd/COK-PRD-10-10.md"
"COK-UXD-01-01","UXD","UX·접근성·콘텐츠","디자이너","정보 위계 점검","정기 점검","manuals/uxd/COK-UXD-01-01.md"
"COK-UXD-01-02","UXD","UX·접근성·콘텐츠","디자이너","정보 위계 점검","신규 요청","manuals/uxd/COK-UXD-01-02.md"
"COK-UXD-01-03","UXD","UX·접근성·콘텐츠","디자이너","정보 위계 점검","실사용자 신고","manuals/uxd/COK-UXD-01-03.md"
"COK-UXD-01-04","UXD","UX·접근성·콘텐츠","디자이너","정보 위계 점검","배포 직전","manuals/uxd/COK-UXD-01-04.md"
"COK-UXD-01-05","UXD","UX·접근성·콘텐츠","디자이너","정보 위계 점검","배포 직후","manuals/uxd/COK-UXD-01-05.md"
"COK-UXD-01-06","UXD","UX·접근성·콘텐츠","디자이너","정보 위계 점검","장애 발생","manuals/uxd/COK-UXD-01-06.md"
